year,inflation,Trade_to_GDP,population,iso3c
1960,,,13411,AND
1961,,,14375,AND
1962,,,15370,AND
1963,,,16412,AND
1964,,,17469,AND
1965,,,18549,AND
1966,,,19647,AND
1967,,,20758,AND
1968,,,21890,AND
1969,,,23058,AND
1970,,,24276,AND
1971,,,25559,AND
1972,,,26892,AND
1973,,,28232,AND
1974,,,29520,AND
1975,,,30705,AND
1976,,,31777,AND
1977,,,32771,AND
1978,,,33737,AND
1979,,,34818,AND
1980,,,36067,AND
1981,,,37500,AND
1982,,,39114,AND
1983,,,40867,AND
1984,,,42706,AND
1985,,,44600,AND
1986,,,46517,AND
1987,,,48455,AND
1988,,,50434,AND
1989,,,52448,AND
1990,,,54509,AND
1991,,,56671,AND
1992,,,58888,AND
1993,,,60971,AND
1994,,,62677,AND
1995,,,63850,AND
1996,,,64360,AND
1997,,,64327,AND
1998,,,64142,AND
1999,,,64370,AND
2000,,,65390,AND
2001,,,67341,AND
2002,,,70049,AND
2003,,,73182,AND
2004,,,76244,AND
2005,,,78867,AND
2006,,,80991,AND
2007,,,82683,AND
2008,,,83861,AND
2009,,,84462,AND
2010,,,84449,AND
2011,,,83751,AND
2012,,,82431,AND
2013,,,80788,AND
2014,,,79223,AND
2015,,,78014,AND
2016,,,77281,AND
2017,,,76965,AND
1960,,,92634,ARE
1961,,,101078,ARE
1962,,,112472,ARE
1963,,,125566,ARE
1964,,,138529,ARE
1965,,,150362,ARE
1966,,,160481,ARE
1967,,,170283,ARE
1968,,,183194,ARE
1969,,,203820,ARE
1970,,,235499,ARE
1971,,,278808,ARE
1972,,,332760,ARE
1973,,,397174,ARE
1974,,,471364,ARE
1975,,,554324,ARE
1976,,,646943,ARE
1977,,,748117,ARE
1978,,,852262,ARE
1979,,,952040,ARE
1980,,,1042384,ARE
1981,,,1120900,ARE
1982,,,1189545,ARE
1983,,,1253060,ARE
1984,,,1318478,ARE
1985,,,1391052,ARE
1986,,,1472218,ARE
1987,,,1560718,ARE
1988,,,1655849,ARE
1989,,,1756043,ARE
1990,,,1860174,ARE
1991,,,1970026,ARE
1992,,,2086639,ARE
1993,,,2207405,ARE
1994,,,2328686,ARE
1995,,,2448820,ARE
1996,,,2571020,ARE
1997,,,2700010,ARE
1998,,,2838145,ARE
1999,,,2988162,ARE
2000,,,3154925,ARE
2001,,89.8645799289427,3326032,ARE
2002,,93.0716588147781,3507232,ARE
2003,,102.300169490783,3741932,ARE
2004,,116.622673310185,4087931,ARE
2005,,119.55312400123,4579562,ARE
2006,,119.470702677257,5242032,ARE
2007,,136.798152865771,6044067,ARE
2008,12.25042024,148.513544025723,6894278,ARE
2009,1.559800981,153.461944358373,7666393,ARE
2010,0.878936756,141.309041911441,8270684,ARE
2011,0.876836633,151.798270101202,8672475,ARE
2012,0.66427897,165.143012494148,8900453,ARE
2013,1.09948371,165.541192319236,9006263,ARE
2014,2.34582837,168.050233667743,9070867,ARE
2015,4.068834375,175.221307567909,9154302,ARE
2016,1.617876882,176.747648042171,9269612,ARE
2017,,172.810526922642,9400145,ARE
1960,,11.157026581176,8996351,AFG
1961,,12.5506095641626,9166764,AFG
1962,,14.2276444262674,9345868,AFG
1963,,26.0355114281704,9533954,AFG
1964,,26.9444479475307,9731361,AFG
1965,,32.6710826152849,9938414,AFG
1966,,27.1428573129252,10152331,AFG
1967,,20.9827354616946,10372630,AFG
1968,,24.110033071763,10604346,AFG
1969,,25.0788642331499,10854428,AFG
1970,,21.7281100678648,11126123,AFG
1971,,27.0631374536424,11417825,AFG
1972,,32.8690810352185,11721940,AFG
1973,,27.6923087928995,12027822,AFG
1974,,28.8659801551706,12321541,AFG
1975,,26.9483576711852,12590286,AFG
1976,,28.0869566604915,12840299,AFG
1977,,26.4860798295929,13067538,AFG
1978,,24.7138040330125,13237734,AFG
1979,,,13306695,AFG
1980,,,13248370,AFG
1981,,,13053954,AFG
1982,,,12749645,AFG
1983,,,12389269,AFG
1984,,,12047115,AFG
1985,,,11783050,AFG
1986,,,11601041,AFG
1987,,,11502761,AFG
1988,,,11540888,AFG
1989,,,11777609,AFG
1990,,,12249114,AFG
1991,,,12993657,AFG
1992,,,13981231,AFG
1993,,,15095099,AFG
1994,,,16172719,AFG
1995,,,17099541,AFG
1996,,,17822884,AFG
1997,,,18381605,AFG
1998,,,18863999,AFG
1999,,,19403676,AFG
2000,,,20093756,AFG
2001,,,20966463,AFG
2002,,97.6744227499797,21979923,AFG
2003,,137.901039454029,23064851,AFG
2004,,121.13581870045,24118979,AFG
2005,12.68626872,104.862400564151,25070798,AFG
2006,7.254895561,100.555349411331,25893450,AFG
2007,8.482889268,76.1737610946716,26616792,AFG
2008,30.55494061,73.0655202440326,27294031,AFG
2009,-8.283078395,56.9068174248469,28004331,AFG
2010,0.892536936,54.9673280956043,28803167,AFG
2011,10.20166014,50.3012220744035,29708599,AFG
2012,7.218257761,44.659247762082,30696958,AFG
2013,7.654316567,56.065669936469,31731688,AFG
2014,4.604334009,52.341577191694,32758020,AFG
2015,-1.533846583,55.8037319475389,33736494,AFG
2016,2.169452176,55.9212268518882,34656032,AFG
2017,,,35530081,AFG
1960,,,55339,ATG
1961,,,56144,ATG
1962,,,57144,ATG
1963,,,58294,ATG
1964,,,59524,ATG
1965,,,60781,ATG
1966,,,62059,ATG
1967,,,63360,ATG
1968,,,64655,ATG
1969,,,65910,ATG
1970,,,67098,ATG
1971,,,68188,ATG
1972,,,69176,ATG
1973,,,70066,ATG
1974,,,70878,ATG
1975,,,71609,ATG
1976,,,72285,ATG
1977,,85.6332309315756,72875,ATG
1978,,101.915842514694,73324,ATG
1979,,132.967354224339,73528,ATG
1980,,128.948064017801,73442,ATG
1981,,142.106411585762,73066,ATG
1982,,146.839625585656,72448,ATG
1983,,115.974510211796,71639,ATG
1984,,133.021878338811,70725,ATG
1985,,140.659123073428,69782,ATG
1986,,171.930622794216,68809,ATG
1987,,157.226918531444,67845,ATG
1988,,137.800782461083,67058,ATG
1989,,143.540484081861,66627,ATG
1990,,149.272126887192,66696,ATG
1991,,151.074063796822,67307,ATG
1992,,158.973000516075,68427,ATG
1993,,156.544805710029,69938,ATG
1994,,145.629808203147,71719,ATG
1995,,145.602178284139,73619,ATG
1996,,137.264769638368,75628,ATG
1997,,135.403263117099,77739,ATG
1998,,131.319408132489,79851,ATG
1999,1.121287896,130.795256680996,81831,ATG
2000,0.771779797,116.281789378355,83584,ATG
2001,1.402796636,116.380689775623,85057,ATG
2002,2.407658013,110.764539900541,86266,ATG
2003,1.993530552,116.56601895806,87293,ATG
2004,2.030077579,122.481460178376,88257,ATG
2005,2.098751967,120.133080113112,89253,ATG
2006,1.787785374,118.113791647384,90301,ATG
2007,1.416052594,115.423207450464,91381,ATG
2008,5.333806398,115.283599454991,92478,ATG
2009,-0.550159996,103.581582371424,93581,ATG
2010,3.370025402,104.364082719019,94661,ATG
2011,3.456749672,103.246858561683,95719,ATG
2012,3.376880443,102.798764074336,96777,ATG
2013,1.059497824,106.154465713388,97824,ATG
2014,1.089441574,104.155817102385,98875,ATG
2015,0.968993459,93.2406974385871,99923,ATG
2016,-0.489437796,88.7302849004793,100963,ATG
2017,,,102012,ATG
1960,,,1608800,ALB
1961,,,1659800,ALB
1962,,,1711319,ALB
1963,,,1762621,ALB
1964,,,1814135,ALB
1965,,,1864791,ALB
1966,,,1914573,ALB
1967,,,1965598,ALB
1968,,,2022272,ALB
1969,,,2081695,ALB
1970,,,2135479,ALB
1971,,,2187853,ALB
1972,,,2243126,ALB
1973,,,2296752,ALB
1974,,,2350124,ALB
1975,,,2404831,ALB
1976,,,2458526,ALB
1977,,,2513546,ALB
1978,,,2566266,ALB
1979,,,2617832,ALB
1980,,45.8250749506054,2671997,ALB
1981,,44.497605577662,2726056,ALB
1982,,43.2525386847195,2784278,ALB
1983,,39.00562196255,2843960,ALB
1984,,36.7904298195613,2904429,ALB
1985,,34.685406148026,2964762,ALB
1986,,30.5250142005462,3022635,ALB
1987,,31.0288080231291,3083605,ALB
1988,,35.600305738476,3142336,ALB
1989,,38.6585297289146,3227943,ALB
1990,,38.0657831094828,3286542,ALB
1991,,34.8163862743792,3266790,ALB
1992,226.0054213,100.002686541879,3247039,ALB
1993,85.00475124,77.7150689060593,3227287,ALB
1994,22.56505269,50.3020121386065,3207536,ALB
1995,7.793218538,46.9874219923069,3187784,ALB
1996,12.72547781,43.2202029460839,3168033,ALB
1997,33.18027438,43.9356497213416,3148281,ALB
1998,20.64285887,45.4813408285662,3128530,ALB
1999,0.389437654,48.0297479959828,3108778,ALB
2000,0.050018136,55.9204287230026,3089027,ALB
2001,3.10758827,57.4303612453301,3060173,ALB
2002,7.770525834,63.9342407411882,3051010,ALB
2003,0.484002612,65.4406219482911,3039616,ALB
2004,2.280019169,66.3578254370479,3026939,ALB
2005,2.366581957,70.2953012017195,3011487,ALB
2006,2.370728319,73.4550491659384,2992547,ALB
2007,2.932682482,82.8724226308549,2970017,ALB
2008,3.359242418,77.4517110851705,2947314,ALB
2009,2.280502222,75.0949053413577,2927519,ALB
2010,3.552267388,76.5434715491159,2913021,ALB
2011,3.450347153,81.2185485414313,2905195,ALB
2012,2.03159594,76.5101734744528,2900401,ALB
2013,1.937617549,75.8737824556845,2895092,ALB
2014,1.631777988,75.4078339395339,2889104,ALB
2015,1.910016978,71.8010161004583,2880703,ALB
2016,1.282798834,74.6692622001273,2876101,ALB
2017,,78.075613190872,2873457,ALB
1960,,,1874120,ARM
1961,,,1941491,ARM
1962,,,2009526,ARM
1963,,,2077575,ARM
1964,,,2144998,ARM
1965,,,2211316,ARM
1966,,,2276031,ARM
1967,,,2339124,ARM
1968,,,2401140,ARM
1969,,,2462925,ARM
1970,,,2525065,ARM
1971,,,2587706,ARM
1972,,,2650484,ARM
1973,,,2712781,ARM
1974,,,2773747,ARM
1975,,,2832757,ARM
1976,,,2889579,ARM
1977,,,2944379,ARM
1978,,,2997411,ARM
1979,,,3049105,ARM
1980,,,3099751,ARM
1981,,,3148092,ARM
1982,,,3193686,ARM
1983,,,3238594,ARM
1984,,,3285595,ARM
1985,,,3335935,ARM
1986,,,3392256,ARM
1987,,,3451942,ARM
1988,,,3504651,ARM
1989,,,3536469,ARM
1990,,81.3357185450209,3538165,ARM
1991,,100.865855188857,3505251,ARM
1992,,101.076759405526,3442810,ARM
1993,,107.973146280234,3363098,ARM
1994,3373.474139,112.428831044431,3283660,ARM
1995,175.9513255,86.1148549605111,3217342,ARM
1996,18.68118564,79.2295615718099,3168215,ARM
1997,13.96076412,78.5477445199017,3133086,ARM
1998,8.672486324,71.8424531375795,3108684,ARM
1999,0.64824576,70.5604195051967,3089017,ARM
2000,-0.790883769,73.9185677483324,3069588,ARM
2001,3.145904647,71.6171966314838,3050655,ARM
2002,1.060049293,75.9434195954309,3033897,ARM
2003,4.721553366,82.1876465514541,3017806,ARM
2004,6.961261359,75.0372101843166,3000612,ARM
2005,0.642343268,72.0389254730378,2981259,ARM
2006,2.892356625,62.6091930629355,2958500,ARM
2007,4.407360896,58.3364583828817,2933056,ARM
2008,8.949953354,55.7028621156341,2908220,ARM
2009,3.406766827,58.4788698681044,2888584,ARM
2010,8.181575544,66.1472866893029,2877311,ARM
2011,7.651233638,71.1108651220388,2875581,ARM
2012,2.5554709,75.9667433930304,2881922,ARM
2013,5.793787917,76.5561957927212,2893509,ARM
2014,2.980988073,75.6116848388122,2906220,ARM
2015,3.726586028,71.5932653468932,2916950,ARM
2016,-1.271210454,75.9178800280663,2924816,ARM
2017,,88.4534840488739,2930450,ARM
1960,,,5643182,AGO
1961,,,5753024,AGO
1962,,,5866061,AGO
1963,,,5980417,AGO
1964,,,6093321,AGO
1965,,,6203299,AGO
1966,,,6309770,AGO
1967,,,6414995,AGO
1968,,,6523791,AGO
1969,,,6642632,AGO
1970,,,6776381,AGO
1971,,,6927269,AGO
1972,,,7094834,AGO
1973,,,7277960,AGO
1974,,,7474338,AGO
1975,,,7682479,AGO
1976,,,7900997,AGO
1977,,,8130988,AGO
1978,,,8376147,AGO
1979,,,8641521,AGO
1980,,,8929900,AGO
1981,,,9244507,AGO
1982,,,9582156,AGO
1983,,,9931562,AGO
1984,,,10277321,AGO
1985,,88.4945849682428,10609042,AGO
1986,,94.519684738292,10921037,AGO
1987,,82.6892356570661,11218268,AGO
1988,,76.2264909720351,11513968,AGO
1989,,65.5271745983787,11827237,AGO
1990,,59.5300729914595,12171441,AGO
1991,83.60833333,57.1428571428571,12553446,AGO
1992,299.0605002,97.3684210526316,12968345,AGO
1993,1379.414274,100,13403734,AGO
1994,948.8111888,,13841301,AGO
1995,2671.792072,,14268994,AGO
1996,4145.107647,,14682284,AGO
1997,219.1767212,,15088981,AGO
1998,107.2848215,,15504318,AGO
1999,248.1959024,,15949766,AGO
2000,324.9968716,152.547109454858,16440924,AGO
2001,152.5610225,150.335794690093,16983266,AGO
2002,108.8974361,124.959914491307,17572649,AGO
2003,98.2237177,130.453669736458,18203369,AGO
2004,43.54194725,124.395150235728,18865716,AGO
2005,22.96374444,139.657432418488,19552542,AGO
2006,13.30325336,118.774517825783,20262399,AGO
2007,12.24867552,117.473807794816,20997687,AGO
2008,12.47371341,127.544973911909,21759420,AGO
2009,13.73145114,110.316370505615,22549547,AGO
2010,14.4705412,105.267209721564,23369131,AGO
2011,13.46701535,107.515675508187,24218565,AGO
2012,10.29349433,103.323437101935,25096150,AGO
2013,8.776090933,95.0686162654686,25998340,AGO
2014,7.279561541,90.2619691728445,26920466,AGO
2015,10.27932672,70.3268342815811,27859305,AGO
2016,34.7361593,59.4342048400934,28813463,AGO
2017,,57.5864443973003,29784193,AGO
1960,27.29799283,15.2080960873797,20619075,ARG
1961,13.39434276,11.9898923109727,20953077,ARG
1962,28.31988261,14.0755256495637,21287682,ARG
1963,23.89937107,15.7809062353749,21621840,ARG
1964,22.19658514,11.1274296795488,21953929,ARG
1965,28.62537764,10.3764574099485,22283390,ARG
1966,31.91426894,11.6426054171411,22608748,ARG
1967,29.2009793,12.492660372918,22932203,ARG
1968,16.21016365,11.8881648852942,23261278,ARG
1969,7.574859176,12.7974266330598,23605987,ARG
1970,13.58688163,10.3374440809233,23973058,ARG
1971,34.7325003,12.6151889155439,24366439,ARG
1972,58.44588511,14.0356431972715,24782949,ARG
1973,61.24907655,13.3221685115576,25213388,ARG
1974,23.47488987,13.1915798576321,25644506,ARG
1975,182.9268293,11.8027242947756,26066975,ARG
1976,443.9655172,15.0968846246649,26477152,ARG
1977,176.0018112,16.9422865680472,26878565,ARG
1978,175.514724,14.3237963724531,27277741,ARG
1979,159.5071156,12.8406846410014,27684534,ARG
1980,100.7643703,11.5456724604615,28105888,ARG
1981,104.4760426,14.2929774789475,28543364,ARG
1982,164.7768106,15.6114860999886,28993987,ARG
1983,343.8106763,14.9876701068591,29454738,ARG
1984,626.7185921,12.3463814292217,29920904,ARG
1985,672.1806511,18.009425070688,30388783,ARG
1986,90.09660507,14.4860327921395,30857244,ARG
1987,131.327021,15.448969882952,31326473,ARG
1988,342.9551102,15.743458608705,31795517,ARG
1989,3079.809703,19.6377977018838,32263561,ARG
1990,2313.964663,14.9908589999441,32729739,ARG
1991,171.6716965,13.7530541588892,33193918,ARG
1992,24.8999486,14.730980586353,33655151,ARG
1993,10.6114941,16.2231515323488,34110917,ARG
1994,4.177347244,18.1342254505904,34558115,ARG
1995,3.37611685,19.771500987766,34994814,ARG
1996,0.155695901,21.506358172293,35419682,ARG
1997,0.527258257,23.336144697619,35833969,ARG
1998,0.920336467,23.349944346555,36241590,ARG
1999,-1.16689547,21.3826567862219,36648068,ARG
2000,-0.935939412,22.6225023420697,37057452,ARG
2001,-1.066635508,21.8524228521558,37471509,ARG
2002,25.86849787,41.7527512956683,37889370,ARG
2003,13.44284929,40.6446897458032,38309379,ARG
2004,4.415717923,40.692646108947,38728696,ARG
2005,9.639399546,40.5512709706238,39145488,ARG
2006,10.90112453,40.4334798719151,39558890,ARG
2007,8.831412989,40.945170618571,39970224,ARG
2008,8.584013752,40.4026733790382,40382389,ARG
2009,6.282774315,34.0571269054879,40799407,ARG
2010,10.78011543,34.9710132635696,41223889,ARG
2011,9.465686275,35.2061549999644,41656879,ARG
2012,10.03025902,30.5265423717108,42096739,ARG
2013,10.61943301,29.3339290021037,42539925,ARG
2014,,28.4067936452275,42981515,ARG
2015,,22.4862260889792,43417765,ARG
2016,,26.1219138061676,43847430,ARG
2017,,25.0145788711687,44271041,ARG
1960,,,20013,ASM
1961,,,20486,ASM
1962,,,21117,ASM
1963,,,21882,ASM
1964,,,22698,ASM
1965,,,23520,ASM
1966,,,24321,ASM
1967,,,25116,ASM
1968,,,25885,ASM
1969,,,26614,ASM
1970,,,27292,ASM
1971,,,27916,ASM
1972,,,28492,ASM
1973,,,29014,ASM
1974,,,29488,ASM
1975,,,29932,ASM
1976,,,30321,ASM
1977,,,30689,ASM
1978,,,31102,ASM
1979,,,31673,ASM
1980,,,32457,ASM
1981,,,33493,ASM
1982,,,34738,ASM
1983,,,36160,ASM
1984,,,37688,ASM
1985,,,39241,ASM
1986,,,40837,ASM
1987,,,42450,ASM
1988,,,44047,ASM
1989,,,45593,ASM
1990,,,47038,ASM
1991,,,48375,ASM
1992,,,49593,ASM
1993,,,50720,ASM
1994,,,51803,ASM
1995,,,52868,ASM
1996,,,53929,ASM
1997,,,54941,ASM
1998,,,55901,ASM
1999,,,56770,ASM
2000,,,57521,ASM
2001,,,58175,ASM
2002,,209.533073929961,58731,ASM
2003,,205.692599620493,59117,ASM
2004,,200.5859375,59264,ASM
2005,,221.073558648111,59118,ASM
2006,,227.620967741935,58650,ASM
2007,,216.538461538462,57903,ASM
2008,,247.779751332149,57030,ASM
2009,,160.176991150442,56227,ASM
2010,,156.423611111111,55637,ASM
2011,,155.749128919861,55320,ASM
2012,,174.689440993789,55230,ASM
2013,,171.294851794072,55307,ASM
2014,,171.695178849145,55437,ASM
2015,,164.491654021244,55537,ASM
2016,,158.510638297872,55599,ASM
2017,,,55641,ASM
1960,1.945749856,46.5097584886874,7047539,AUT
1961,3.542256369,44.9072370695355,7086299,AUT
1962,4.381785519,45.6180901534569,7129864,AUT
1963,2.708769829,46.2846929359315,7175811,AUT
1964,3.868570596,46.9855812470221,7223801,AUT
1965,4.930911131,48.2393149536368,7270889,AUT
1966,2.205882353,48.9255425298678,7322066,AUT
1967,3.974999999,48.3085412151414,7376998,AUT
1968,2.773102508,49.013881174705,7415403,AUT
1969,3.080402402,52.7252596626323,7441055,AUT
1970,4.372824936,54.86039174788,7467086,AUT
1971,4.704262105,54.3804711459358,7500482,AUT
1972,6.362062998,54.2960192212936,7544201,AUT
1973,7.52408227,54.4568199360651,7586115,AUT
1974,9.521791768,59.5677317780406,7599038,AUT
1975,8.445255071,56.5991341566834,7578903,AUT
1976,7.31868916,59.9162816321086,7565525,AUT
1977,5.474999999,60.2775956821567,7568430,AUT
1978,3.579047168,59.6679877608595,7562305,AUT
1979,3.707093822,63.3172191333532,7549425,AUT
1980,6.325389821,66.8250060486283,7549433,AUT
1981,6.806862203,68.396550301208,7568710,AUT
1982,5.440414508,64.1171139234959,7574140,AUT
1983,3.335380835,62.4721849872476,7561910,AUT
1984,5.66486358,66.5750060351522,7561434,AUT
1985,3.18969397,70.0831614762495,7564985,AUT
1986,1.700921333,64.014597212162,7569794,AUT
1987,1.4,62.8537227269269,7574586,AUT
1988,1.931295201,66.562550344062,7585317,AUT
1989,2.563895832,70.5383587945509,7619567,AUT
1990,3.262322144,71.4883694819226,7677850,AUT
1991,3.334348356,70.0484058928522,7754891,AUT
1992,4.029762782,67.6301674653756,7840709,AUT
1993,3.625805538,63.2650504915528,7905633,AUT
1994,2.959065127,65.9870933378821,7936118,AUT
1995,2.250099562,68.25660110272,7948278,AUT
1996,1.843557287,70.0836711206827,7959017,AUT
1997,1.308321332,74.8676902155828,7968041,AUT
1998,0.921274845,76.9271493915785,7976789,AUT
1999,0.56240939,78.2601403439716,7992324,AUT
2000,2.395185512,85.3604956179232,8011566,AUT
2001,2.663440722,87.5366647639352,8042293,AUT
2002,1.802101999,86.9481679996606,8081957,AUT
2003,1.355541125,86.3873824162825,8121423,AUT
2004,2.061228151,90.7923456929297,8171966,AUT
2005,2.304765879,94.0338056833054,8227829,AUT
2006,1.449618451,98.0883112053436,8268641,AUT
2007,2.168599053,100.733254061926,8295487,AUT
2008,3.21592066,102.073682731706,8321496,AUT
2009,0.506312509,87.0622309742796,8343323,AUT
2010,1.813535031,99.0197962369563,8363404,AUT
2011,3.266938912,105.102788629725,8391643,AUT
2012,2.485675087,105.152177427838,8429991,AUT
2013,2.000157493,104.066414086373,8479823,AUT
2014,1.605805605,103.528973020149,8546356,AUT
2015,0.896567005,102.136010417855,8642699,AUT
2016,0.891590693,101.167012721198,8736668,AUT
2017,,104.707771937866,8809212,AUT
1960,3.792592592,27.0561987457791,10276477,AUS
1961,2.512132458,27.4281805745554,10483000,AUS
1962,-0.278473962,26.5739385065886,10742000,AUS
1963,0.530578051,26.8399395801865,10950000,AUS
1964,2.361111111,28.7027434712925,11167000,AUS
1965,3.962008141,28.4875183553598,11388000,AUS
1966,2.975724354,28.0626078383042,11651000,AUS
1967,3.19391635,26.7772249861802,11799000,AUS
1968,2.652910833,26.7832647462277,12009000,AUS
1969,2.919358698,25.2890085020491,12263000,AUS
1970,3.906068356,26.1983605667445,12507000,AUS
1971,6.06399642,25.5979555379119,12937000,AUS
1972,5.864978903,24.7993164391878,13177000,AUS
1973,9.465922678,25.1754297778225,13380000,AUS
1974,15.11014018,26.3687206465639,13723000,AUS
1975,15.07195951,29.0170225327167,13893000,AUS
1976,13.52391424,26.9068534964489,14033000,AUS
1977,12.30024213,28.6767308693389,14192000,AUS
1978,7.923673998,28.2220929899993,14358000,AUS
1979,9.090000999,29.6723966328717,14514000,AUS
1980,10.12658228,32.3521095319592,14692000,AUS
1981,9.691745036,31.6564215509023,14927000,AUS
1982,11.14551084,30.3747792903116,15178000,AUS
1983,10.11356332,29.2221458410449,15369000,AUS
1984,3.950184861,28.5892417672565,15544000,AUS
1985,6.739049045,32.5696528531597,15758000,AUS
1986,9.084531744,33.0998827621995,16018400,AUS
1987,8.488745981,32.5883246580953,16263900,AUS
1988,7.231772377,32.62889493928,16532200,AUS
1989,7.559425097,32.1250190428519,16814400,AUS
1990,7.272260054,32.213926037422,17065100,AUS
1991,3.222679913,32.2507653079686,17284000,AUS
1992,0.985915493,33.1103425583339,17495000,AUS
1993,1.813110181,35.468279172155,17667000,AUS
1994,1.894977169,36.5273048168299,17855000,AUS
1995,4.638135783,37.8015516603413,18072000,AUS
1996,2.6124197,38.3323319414935,18311000,AUS
1997,0.250417362,38.0748112251054,18517000,AUS
1998,0.853455454,40.0704305582242,18711000,AUS
1999,1.465428277,39.1561162373084,18926000,AUS
2000,4.475183076,41.0476364852412,19153000,AUS
2001,4.380841121,44.3840934437813,19413000,AUS
2002,3.00317105,41.5743630486655,19651400,AUS
2003,2.770735241,40.3128544092887,19895400,AUS
2004,2.343612335,37.1562923222683,20127400,AUS
2005,2.668732782,39.3146159122681,20394800,AUS
2006,3.538487339,41.6339348752007,20697900,AUS
2007,2.332361516,42.107552446908,20827600,AUS
2008,4.352643242,42.9277976282111,21249200,AUS
2009,1.82011224,45.8649831280567,21691700,AUS
2010,2.845225682,40.7163844539093,22031750,AUS
2011,3.303850156,41.9779397674618,22340024,AUS
2012,1.762780156,43.2870791020844,22742475,AUS
2013,2.449888641,41.2735790627962,23145901,AUS
2014,2.487922705,42.5798482995107,23504138,AUS
2015,1.508366722,41.5473873260458,23850784,AUS
2016,1.276990945,40.7714731948103,24210809,AUS
2017,,41.8929700625283,24598933,AUS
1960,,,54211,ABW
1961,,,55438,ABW
1962,,,56225,ABW
1963,,,56695,ABW
1964,,,57032,ABW
1965,,,57360,ABW
1966,,,57715,ABW
1967,,,58055,ABW
1968,,,58386,ABW
1969,,,58726,ABW
1970,,,59063,ABW
1971,,,59440,ABW
1972,,,59840,ABW
1973,,,60243,ABW
1974,,,60528,ABW
1975,,,60657,ABW
1976,,,60586,ABW
1977,,,60366,ABW
1978,,,60103,ABW
1979,,,59980,ABW
1980,,,60096,ABW
1981,,,60567,ABW
1982,,,61345,ABW
1983,,,62201,ABW
1984,,,62836,ABW
1985,4.032258065,,63026,ABW
1986,1.073966408,,62644,ABW
1987,3.643045458,,61833,ABW
1988,3.121868496,,61079,ABW
1989,3.991628046,,61032,ABW
1990,5.836687752,,62149,ABW
1991,5.555555556,,64622,ABW
1992,3.87337537,,68235,ABW
1993,5.21555996,,72504,ABW
1994,6.311079713,155.984880302394,76700,ABW
1995,3.361391073,171.319796954315,80324,ABW
1996,3.225287972,175.344129554656,83200,ABW
1997,2.999948098,168.781911013858,85451,ABW
1998,1.869488536,163.267359946327,87277,ABW
1999,2.280371983,164.591203738233,89005,ABW
2000,4.044021312,145.072879516204,90853,ABW
2001,2.883604303,139.021956378172,92898,ABW
2002,3.315774991,134.33499493461,94992,ABW
2003,3.657376581,133.960084352967,97017,ABW
2004,2.529938059,133.653243477694,98737,ABW
2005,3.395625246,146.481006590773,100031,ABW
2006,3.608711459,143.464899733299,100832,ABW
2007,5.39120264,142.363306909232,101220,ABW
2008,8.957732188,141.187287523436,101353,ABW
2009,-2.136371573,140.062909532337,101453,ABW
2010,2.07773902,136.31879090553,101669,ABW
2011,4.374595795,157.208415564428,102053,ABW
2012,0.571755528,,102577,ABW
2013,-2.37226328,,103187,ABW
2014,0.420998172,,103795,ABW
2015,0.476485008,,104341,ABW
2016,-0.893020019,,104822,ABW
2017,,,105264,ABW
1960,,,3895396,AZE
1961,,,4030320,AZE
1962,,,4171425,AZE
1963,,,4315128,AZE
1964,,,4456689,AZE
1965,,,4592610,AZE
1966,,,4721525,AZE
1967,,,4843870,AZE
1968,,,4960235,AZE
1969,,,5071930,AZE
1970,,,5180025,AZE
1971,,,5284532,AZE
1972,,,5385267,AZE
1973,,,5483084,AZE
1974,,,5579077,AZE
1975,,,5674137,AZE
1976,,,5768724,AZE
1977,,,5863134,AZE
1978,,,5957929,AZE
1979,,,6053645,AZE
1980,,,6150738,AZE
1981,,,6249320,AZE
1982,,,6349558,AZE
1983,,,6452076,AZE
1984,,,6557585,AZE
1985,,,6666455,AZE
1986,,,6778633,AZE
1987,,,6893500,AZE
1988,,,7010036,AZE
1989,,,7126891,AZE
1990,,83.0832196452933,7159000,AZE
1991,,86.8637724550898,7271000,AZE
1992,-10.63009791,140.799983402834,7382000,AZE
1993,1128.000023,133.420761131129,7495000,AZE
1994,1662.215947,55.3526580466289,7597000,AZE
1995,411.7596418,69.4108913675133,7685000,AZE
1996,19.7948028,85.0633599742374,7763000,AZE
1997,3.674348108,82.046246691237,7838250,AZE
1998,-0.772697895,77.2335799943033,7913000,AZE
1999,-8.52517001,69.861221484048,7982750,AZE
2000,1.805003038,77.419454865306,8048600,AZE
2001,1.547195911,78.2409718564226,8111200,AZE
2002,2.771164714,92.8174579872131,8171950,AZE
2003,2.233864933,107.561386692787,8234100,AZE
2004,6.708930421,121.503364477217,8306500,AZE
2005,9.679507327,115.833445398283,8391850,AZE
2006,8.374063195,105.265784532332,8484550,AZE
2007,16.59536673,96.6446391988858,8581300,AZE
2008,20.79157914,89.2428968637573,8763400,AZE
2009,1.401056148,74.7440416836369,8947243,AZE
2010,5.667923129,74.9859884610856,9054332,AZE
2011,7.850450579,80.5080450059522,9173082,AZE
2012,1.014109821,78.2632522098433,9295784,AZE
2013,2.381443661,74.9781719432127,9416801,AZE
2014,1.385028931,69.4664495434142,9535079,AZE
2015,4.171965726,72.6015079073189,9649341,AZE
2016,4.179993538,90.0773187345677,9757812,AZE
2017,,90.6635906985233,9862429,AZE
1960,,,3225668,BIH
